năm	7398162
loại	5519557
thể	5396773
của	5191059
tháng	5046916
và	4861337
ngày	4626064
là	4432347
được	3940300
một	3852363
chú	3709946
thích	3693555
trong	3449489
có	3140825
vật	3116502
các	2895281
the	2628795
tham	2412383
thành	2166336
com	2150856
khảo	2147371
người	2049946
quốc	2016250
thực	1957362
động	1941090
ở	1918492
a	1862478
họ	1802261
với	1718917
đã	1703196
này	1652534
đề	1632835
cho	1622560
nam	1594864
loài	1591645
bộ	1562774
không	1544380
vào	1540251
học	1528751
chính	1527250
hoa	1524759
tại	1412692
đầu	1407318
phân	1393243
gia	1384126
liên	1382886
số	1367569
bản	1328074
kết	1311293
công	1299671
từ	1283658
bóng	1228882
viên	1217031
kỳ	1171975
đá	1163428
nhà	1156032
tin	1148903
sự	1142316
dân	1121715
giải	1115245
trung	1104119
hình	1103882
in	1090571
e	1089917
đến	1072797
khi	1072041
tả	1065126
những	1045532
bảng	1041383
tên	1013786
xã	993200
hành	973607
đại	963620
em	961524
về	959880
theo	955780
sau	952670
tỉnh	946139
tập	942086
anh	936031
thế	920462
quân	910220
ra	897906
trên	889995
ngoài	884667
việt	870598
nhân	867503
để	862376
hội	851659
mô	849039
đó	830759
bị	827384
hai	818223
sách	813219
tiêu	811579
ông	797406
nhất	796504
tiên	795143
thông	783068
đội	780076
thuộc	777697
khoa	774145
sinh	773063
xuất	770392
như	759537
danh	754674
nghiêng	745088
nội	737375
pháp	732889
sử	732208
độ	726449
thủ	709808
thời	708673
đồng	705055
chiến	695842
bài	692966
thị	687667
de	679236
do	675624
vị	670376
phát	661448
cầu	656661
en	656634
hiện	654868
lại	653586
thứ	647541
định	644795
cập	641558
huyện	641380
phim	637972
nước	635415
khu	631856
quan	629238
báo	626463
châu	621423
cũng	615921
văn	604810
làm	603886
con	601068
chân	598307
to	591609
việc	591594
đổi	589518
y	585930
truy	577593
tác	575747
chủ	575055
lý	571754
ban	571510
đông	568202
cánh	562089
giới	554964
nhiều	553508
phố	551543
tiếng	549962
khác	547820
chỉ	545592
tây	544059
chức	538713
mùa	524977
cấp	524924
địa	524128
cùng	517265
on	515845
tự	515618
thống	513928
dòng	507435
trường	507006
dụng	505385
thảo	502241
bắc	500958
chi	499730
hợp	498150
lá	496266
cao	495862
quận	494824
cộng	491186
diễn	490582
vùng	485914
giáo	481640
phần	480979
nó	480257
no	471133
hòa	470251
ba	466657
luận	466179
cách	465967
minh	464788
còn	464106
sĩ	462383
lập	460797
tổng	459458
bình	457687
trước	457546
i	456922
an	453025
vụ	452631
nhan	451259
u	447367
điều	447020
cơ	445952
mỹ	445813
lưu	445599
phải	441170
vô	440529
tiểu	436771
cuộc	436279
hơn	435740
trận	435442
hoàng	435418
tế	435169
điểm	430757
bang	427717
đây	424066
đức	423240
chúng	422025
trang	421899
trình	421618
ý	415313
trí	413488
hiệu	413160
vận	412623
sản	411596
trùng	407271
nhưng	406790
chí	406041
đấu	406012
điện	405381
lan	405237
nhạc	402952
đường	402912
sân	402858
nhận	402375
vương	400845
nữ	400094
tiếp	396884
bằng	392905
la	386067
biểu	385489
tính	385379
thổ	384257
thái	383673
mi	383658
côn	382227
ảnh	381054
